Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Product,Category,Sub-Category,Sales,Quantity,Discount,Profit,City,State,Region
12,US-2023-101915,2023-11-06,2023-11-09,First Class,Richard Smith,Consumer,Laptops Item 314,Technology,Laptops,9568.2,5,0.1,806.1,Spokane,Washington,West
13,US-2023-101671,2023-11-22,2023-11-25,Standard Class,Mei Kim,Home Office,Binders Item 888,Office Supplies,Binders,322.08,6,0.1,50.17,Jersey City,New Jersey,East
14,US-2023-102194,2023-09-27,2023-09-29,Same Day,Carlos Miller,Home Office,Phones Item 332,Technology,Phones,6958.72,8,0.4,-1950.26,New York City,New York,East
15,US-2022-103437,2022-03-08,2022-03-13,Same Day,Richard Rodriguez,Home Office,Binders Item 572,Office Supplies,Binders,191.7,5,0.1,20.71,Memphis,Tennessee,South
16,US-2023-103489,2023-09-04,2023-09-05,Same Day,Michael Miller,Home Office,Chairs Item 486,Furniture,Chairs,389.42,1,0.0,122.9,Albany,New York,East
17,US-2023-101341,2023-04-23,2023-04-28,Same Day,Elizabeth Johnson,Corporate,Art Item 548,Office Supplies,Art,150.42,6,0.1,31.15,Chicago,Illinois,Central
18,US-2022-103495,2022-01-08,2022-01-11,Same Day,David Kim,Consumer,Furnishings Item 948,Furniture,Furnishings,168.6,3,0.0,26.34,Raleigh,North Carolina,South
19,US-2022-101912,2022-05-26,2022-06-02,Same Day,Elizabeth Nguyen,Home Office,Accessories Item 321,Technology,Accessories,245.6,2,0.2,-1.07,Boston,Massachusetts,East
20,US-2022-102958,2022-11-08,2022-03-15,Same Day,Mei Ali,Corporate,Phones Item 817,Technology,Phones,4303.6,8,0.1,244.63,San Diego,California,West
21,US-2023-103233,2023-02-22,2023-02-26,Standard Class,John Rodriguez,Home Office,Art Item 370,Office Supplies,Art,263.44,4,0.0,42.43,Cleveland,Ohio,Central
22,US-2024-101849,2024-07-06,2024-07-07,First Class,Elizabeth Davis,Corporate,Art Item 694,Office Supplies,Art,462.66,6,0.3,-21.48,Miami,Florida,South
23,US-2023-103232,2023-06-13,2023-06-15,First Class,Robert Wilson,Consumer,Storage Item 399,Office Supplies,Storage,381.06,2,0.0,77.59,Buffalo,New York,East
24,US-2022-102988,2022-11-20,2022-11-21,Same Day,Carlos Smith,Corporate,Paper Item 538,Office Supplies,Paper,25.98,2,0.4,-2.59,New York City,New York,East
25,US-2022-100571,2022-04-22,2022-04-29,First Class,Jennifer Martinez,Consumer,Printers Item 174,Technology,Printers,2035.32,4,0.4,-448.66,Eugene,Oregon,West
26,US-2022-100267,2022-12-26,2023-01-01,Standard Class,William Taylor,Consumer,Bookcases Item 651,Furniture,Bookcases,5583.28,8,0.15,536.48,Ann Arbor,Michigan,Central
27,US-2022-100343,2022-02-16,2022-02-19,Second Class,Mary Garcia,Consumer,Phones Item 308,Technology,Phones,4235.15,5,0.1,641.0,Pittsburgh,Pennsylvania,East
28,US-2022-100262,2022-01-11,2022-01-16,Same Day,Mary Garcia,Home Office,Binders Item 187,Office Supplies,Binders,174.87,3,0.0,55.68,Worcester,Massachusetts,East
29,US-2024-102962,2024-12-02,2024-05-03,Same Day,Joseph Torres,Home Office,Accessories Item 696,Technology,Accessories,206.82,6,0.3,-10.42,Cleveland,Ohio,Central
30,US-2024-103475,2024-08-18,2024-08-23,Same Day,Sarah Lee,Corporate,Accessories Item 624,Technology,Accessories,534.2,4,0.0,82.28,San Francisco,California,West
31,US-2022-101629,2022-04-02,2022-04-06,Standard Class,Carlos Thomas,Home Office,Labels Item 444,Office Supplies,Labels,143.36,8,0.2,-4.12,Savannah,Georgia,
32,US-2022-101886,2022-01-31,2022-02-04,Standard Class,Jessica Torres,Corporate,Furnishings Item 199,Furniture,Furnishings,437.22,3,0.15,72.35,Springfield,Illinois,Central
33,US-2022-100478,2022-04-26,2022-05-02,Second Class,Joseph Anderson,Consumer,Accessories Item 763,Technology,Accessories,411.78,6,0.1,48.02,Eugene,Oregon,West
34,US-2024-100602,2024-07-23,2024-07-26,First Class,Susan Garcia,Home Office,Binders Item 943,Office Supplies,Binders,21.3,5,0.15,1.06,Memphis,Tennessee,South
35,US-2022-100699,2022-06-21,2022-06-24,Second Class,Diego Kim,Consumer,Binders Item 910,Office Supplies,Binders,82.68,3,0.0,16.51,Los Angeles,California,West
36,US-2024-102003,2024-04-14,2024-04-18,First Class,Joseph Davis,Home Office,Binders Item 245,Office Supplies,Binders,92.08,8,0.15,3.56,Philadelphia,Pennsylvania,East
37,US-2024-100095,2024-11-26,2024-11-01,First Class,Wei Davis,Home Office,Accessories Item 402,Technology,Accessories,252.45,3,0.1,22.31,Albany,New York,East
38,US-2024-102147,2024-11-13,2024-10-18,Standard Class,Linda Jones,Consumer,Binders Item 453,Office Supplies,Binders,141.0,4,0.15,23.49,Jersey City,New Jersey,East
39,US-2023-102264,2023-03-11,2023-03-17,Second Class,Mary Miller,Consumer,Art Item 625,Office Supplies,Art,61.24,1,0.0,20.37,Boston,Massachusetts,East
40,US-2023-102306,2023-04-16,2023-04-18,Standard Class,John Johnson,Corporate,Labels Item 865,Office Supplies,Labels,78.4,8,0.0,12.74,Raleigh,North Carolina,South
41,US-2022-101609,2022-12-14,2022-12-15,Second Class,Linda Martinez,Consumer,Printers Item 708,Technology,Printers,1327.6,8,0.15,-19.39,Buffalo,New York,East
42,US-2024-100528,2024-08-17,2024-08-19,First Class,Diego Rodriguez,Corporate,Tables Item 953,Furniture,Tables,5390.1,6,0.4,-1185.05,Jersey City,New Jersey,East
43,US-2024-102135,2024-11-18,2024-11-21,Second Class,David Johnson,Corporate,Tables Item 890,Furniture,Tables,750.98,1,0.0,253.91,Boston,Massachusetts,East
44,US-2022-100958,2022-11-03,2022-02-04,Same Day,Joseph Thomas,Corporate,Bookcases Item 978,Furniture,Bookcases,716.28,2,0.4,-104.28,Albany,New York,East
45,US-2022-100474,2022-02-06,2022-02-13,Standard Class,Jennifer Walker,Consumer,Art Item 492,Office Supplies,Art,76.35,5,0.1,16.8,Savannah,Georgia,South
46,US-2022-103381,2022-01-18,2022-01-25,Second Class,Linda Taylor,Home Office,Labels Item 277,Office Supplies,Labels,67.6,8,0.2,-2.57,Charlotte,North Carolina,South
47,US-2023-102319,2023-12-10,2023-05-13,Second Class,Priya Davis,Corporate,Storage Item 723,Office Supplies,Storage,151.66,2,0.5,-40.57,Memphis,Tennessee,South
48,US-2022-101637,2022-07-13,2022-07-20,Second Class,Wei Johnson,Home Office,Accessories Item 439,Technology,Accessories,222.56,2,0.0,57.23,Worcester,Massachusetts,East
49,US-2024-101073,2024-10-03,2024-10-04,First Class,David Kim,Home Office,Phones Item 476,Technology,Phones,2013.52,4,0.0,632.9,Miami,Florida,South
50,US-2022-103178,2022-09-01,2022-09-05,Standard Class,Priya Garcia,Corporate,Printers Item 750,Technology,Printers,558.8,1,0.1,130.58,Charlotte,North Carolina,South
51,US-2024-101710,2024-05-30,2024-06-02,Standard Class,Linda Rodriguez,Home Office,Paper Item 158,Office Supplies,Paper,32.46,3,0.15,-0.39,Nashville,Tennessee,South
52,US-2024-102033,2024-09-30,2024-10-02,First Class,Wei Singh,Home Office,Art Item 907,Office Supplies,Art,559.36,8,0.0,95.41,Chicago,Illinois,Central
53,US-2024-100657,2024-11-02,2024-11-05,First Class,Susan Thomas,Consumer,Phones Item 533,Technology,Phones,1121.38,2,0.5,-265.25,Albany,New York,East
54,US-2022-101930,2022-11-14,2022-11-17,Standard Class,James Singh,Corporate,Laptops Item 582,Technology,Laptops,3377.31,3,0.0,1069.69,Philadelphia,Pennsylvania,East
55,US-2022-101231,2022-11-02,2022-03-07,Standard Class,David Lee,Corporate,Paper Item 214,Office Supplies,Paper,39.77,1,0.5,-8.91,Miami,Florida,South
56,US-2022-100532,2022-08-16,2022-08-17,Standard Class,Joseph Johnson,Consumer,Art Item 619,Office Supplies,Art,500.96,8,0.5,-158.53,Chicago,Illinois,Central
57,US-2023-103430,2023-09-15,2023-09-19,First Class,Wei Walker,Home Office,Bookcases Item 966,Furniture,Bookcases,3863.64,6,0.1,644.37,Los Angeles,California,West
58,US-2022-101005,2022-08-09,2022-08-12,Second Class,David Jones,Consumer,Phones Item 202,Technology,Phones,995.1,5,0.4,-191.54,Tampa,Florida,South
59,US-2022-101187,2022-01-06,2022-01-12,Second Class,Richard Singh,Home Office,Tables Item 114,Furniture,Tables,3269.95,5,0.4,-667.11,San Diego,California,West
60,US-2023-102296,2023-10-24,2023-10-31,First Class,Mei Martinez,Corporate,Bookcases Item 259,Furniture,Bookcases,1309.62,3,0.1,106.56,Las Vegas,Nevada,West
61,US-2023-100735,2023-09-21,2023-09-26,Standard Class,Michael Rodriguez,Home Office,Bookcases Item 566,Furniture,Bookcases,619.87,1,0.0,189.98,Philadelphia,Pennsylvania,East
62,US-2023-101488,2023-12-16,2023-12-20,Same Day,Amara Singh,Corporate,Phones Item 676,Technology,Phones,2629.62,6,0.3,-460.08,New York City,New York,East
63,US-2024-101704,2024-03-31,2024-04-02,Same Day,Jessica Williams,Corporate,Printers Item 426,Technology,Printers,3157.02,6,0.0,1103.46,Tampa,Florida,South
64,US-2022-101401,2022-04-19,2022-04-23,Second Class,Mei Kim,Consumer,Paper Item 385,Office Supplies,Paper,192.72,6,0.1,42.7,Los Angeles,California,West
65,US-2022-100704,08/01/2022,2022-08-04,Same Day,Robert Kim,Corporate,Accessories Item 930,Technology,Accessories,640.9,5,0.0,199.41,Springfield,Illinois,Central
66,US-2022-101562,2022-03-21,2022-03-25,Second Class,Sarah Miller,Consumer,Storage Item 431,Office Supplies,Storage,79.71,3,0.0,19.27,Ann Arbor,Michigan,Central
67,US-2024-102005,2024-02-12,2024-02-19,Standard Class,Wei Davis,Consumer,Chairs Item 703,Furniture,Chairs,718.14,2,0.0,115.86,Albany,New York,East
68,US-2022-100149,2022-09-29,2022-10-01,Second Class,John Lee,Consumer,Storage Item 879,Office Supplies,Storage,472.35,3,0.2,-12.68,Spokane,Washington,West
69,US-2022-102594,2022-01-27,2022-01-28,Standard Class,Elizabeth Torres,Corporate,Tables Item 199,Furniture,Tables,1282.58,2,0.0,285.61,Jersey City,New Jersey,East
70,US-2022-101065,2022-11-18,2022-11-23,Same Day,John Kim,Consumer,Tables Item 380,Furniture,Tables,6444.32,8,0.15,454.31,Orlando,Florida,South
71,US-2024-102752,2024-01-10,2024-01-11,First Class,Joseph Johnson,Corporate,Printers Item 857,Technology,Printers,804.36,4,0.0,199.8,Atlanta,Georgia,South
72,US-2023-102474,2023-03-15,2023-03-21,Same Day,Sarah Williams,Consumer,Tables Item 524,Furniture,Tables,1197.14,2,0.2,93.77,Columbus,Ohio,Central
73,US-2024-100243,2024-04-28,2024-04-29,Standard Class,Jessica Ali,Corporate,Paper Item 774,Office Supplies,Paper,145.2,6,0.0,47.95,Savannah,Georgia,South
74,US-2022-103024,2022-12-15,2022-12-22,First Class,Susan Thomas,Corporate,Labels Item 281,Office Supplies,Labels,13.29,3,0.0,3.34,Tampa,Florida,South
75,US-2024-100286,2024-12-03,2024-12-06,Standard Class,Richard Brown,Home Office,Art Item 606,Office Supplies,Art,304.85,7,0.15,43.21,Boston,Massachusetts,East
76,US-2024-100738,2024-10-27,2024-11-01,Standard Class,James Martinez,Corporate,Labels Item 316,Office Supplies,Labels,19.04,2,0.15,2.26,Orlando,Florida,South
77,US-2022-101788,2022-08-17,2022-08-22,Same Day,Diego Williams,Corporate,Paper Item 565,Office Supplies,Paper,107.4,3,0.15,6.37,Portland,Oregon,West
78,US-2023-101527,2023-08-09,2023-08-10,Standard Class,Mei Patel,Corporate,Accessories Item 323,Technology,Accessories,142.77,3,0.0,29.62,Seattle,Washington,West
79,US-2024-102423,2024-07-09,2024-07-15,First Class,Mei Ali,Consumer,Phones Item 154,Technology,Phones,852.96,3,0.2,7.2,Portland,Oregon,West
80,US-2022-103171,2022-12-16,2022-12-19,Standard Class,,Corporate,Labels Item 205,Office Supplies,Labels,23.07,3,0.0,6.44,Springfield,Illinois,Central
81,US-2023-101981,2023-10-17,2023-10-20,Standard Class,Susan Martinez,Consumer,Laptops Item 739,Technology,Laptops,11464.88,8,0.0,2620.63,Chicago,Illinois,Central
82,US-2022-100055,2022-02-03,2022-02-06,Standard Class,William Chen,Consumer,Printers Item 850,Technology,Printers,1193.88,6,0.0,197.46,Reno,Nevada,West
83,US-2022-102274,2022-11-12,2022-11-13,First Class,Joseph Johnson,Home Office,Chairs Item 494,Furniture,Chairs,396.6,6,0.0,111.0,San Francisco,California,West
84,US-2022-100651,2022-12-16,2022-07-19,Same Day,Robert Thomas,Consumer,Art Item 220,Office Supplies,Art,22.11,3,0.4,-2.27,Spokane,Washington,West
85,US-2022-101181,2022-10-08,2022-10-09,Standard Class,Amara Brown,Consumer,Accessories Item 588,Technology,Accessories,58.2,5,0.2,0.84,Eugene,Oregon,West
86,US-2024-100753,2024-02-05,2024-02-11,Standard Class,Priya Anderson,Consumer,Art Item 134,Office Supplies,Art,134.04,4,0.15,8.68,Columbus,Ohio,Central
87,US-2022-101153,2022-06-29,2022-06-30,Second Class,Carlos Miller,Corporate,Accessories Item 202,Technology,Accessories,842.7,6,0.15,54.27,New York City,New York,East
88,US-2022-100326,2022-09-23,2022-09-25,Standard Class,James Singh,Consumer,Chairs Item 597,Furniture,Chairs,$98.24,1,0.3,-7.13,Houston,Texas,Central
89,US-2023-102099,2023-04-17,2023-04-19,First Class,Elizabeth Khan,Corporate,Tables Item 479,Furniture,Tables,$602.75,5,0.15,25.26,Pittsburgh,Pennsylvania,East
90,US-2023-103470,2023-12-14,2023-11-20,Same Day,Carlos Davis,Corporate,Binders Item 741,Office Supplies,Binders,188.28,6,0.1,19.21,Spokane,Washington,West
91,US-2022-100279,2022-09-24,2022-09-29,Standard Class,Michael Anderson,Home Office,Labels Item 530,Office Supplies,Labels,10.16,2,0.0,1.58,Newark,New Jersey,East
92,US-2023-101158,2023-05-05,2023-05-11,Same Day,Wei Smith,Corporate,Storage Item 225,Office Supplies,Storage,1192.02,6,0.15,13.47,Atlanta,Georgia,South
93,US-2023-103304,2023-07-13,2023-07-20,Second Class,Carlos Khan,Corporate,Bookcases Item 123,Furniture,Bookcases,1280.16,8,0.0,329.48,Atlanta,Georgia,South
94,US-2022-102743,2022-02-08,2022-02-10,Same Day,Amara Garcia,Home Office,Labels Item 481,Office Supplies,Labels,35.88,2,0.1,8.52,Los Angeles,California,West
95,US-2022-100949,2022-03-07,2022-03-12,First Class,Sarah Patel,Corporate,Accessories Item 389,Technology,Accessories,96.24,1,0.15,2.18,Tampa,Florida,South
96,US-2023-101115,2023-06-02,2023-06-03,Same Day,Mei Taylor,Corporate,Tables Item 103,Furniture,Tables,1688.95,5,0.15,75.98,Raleigh,North Carolina,South
97,US-2024-102484,2024-10-22,2024-10-23,Standard Class,Aiden Anderson,Corporate,Paper Item 860,Office Supplies,Paper,310.08,8,0.0,90.86,Reno,Nevada,West
98,US-2022-103034,2022-11-18,2022-12-23,First Class,Susan Anderson,Consumer,Phones Item 349,Technology,Phones,514.86,1,0.15,26.67,Dallas,Texas,Central
99,US-2022-103426,2022-06-02,2022-06-09,First Class,Jessica Ali,Consumer,Paper Item 781,Office Supplies,Paper,84.96,8,0.1,19.23,Boston,Massachusetts,East
100,US-2022-102168,2022-12-14,2022-11-16,First Class,Jennifer Rodriguez,Consumer,Storage Item 636,Office Supplies,Storage,683.84,8,0.15,-2.79,New York City,New York,East
101,US-2022-102861,2022-10-14,2022-10-15,Standard Class,Wei Jones,Consumer,Printers Item 288,Technology,Printers,672.1,5,0.1,83.74,Charlotte,North Carolina,South
102,US-2024-101274,2024-11-05,2024-10-09,Second Class,Patricia Kim,Corporate,Art Item 617,Office Supplies,Art,86.56,8,0.15,5.76,San Diego,California,West
103,US-2024-101339,2024-11-16,2024-11-21,Same Day,Robert Lee,Consumer,Binders Item 185,Office Supplies,Binders,95.84,4,0.1,4.95,Austin,Texas,Central
104,US-2022-103376,2022-11-17,2022-02-21,Standard Class,Priya Anderson,Home Office,Bookcases Item 237,Furniture,Bookcases,1807.33,7,0.0,472.75,Portland,Oregon,West
105,US-2023-102555,2023-08-09,2023-08-13,Second Class,Elizabeth Torres,Home Office,Paper Item 510,Office Supplies,Paper,31.13,1,0.0,10.69,Tampa,Florida,South
106,US-2023-101060,2023-05-01,2023-05-08,Second Class,Wei Thomas,Home Office,Labels Item 581,Office Supplies,Labels,$15.68,4,0.2,1.67,Chicago,Illinois,Central
107,US-2022-101157,2022-03-17,2022-03-18,Standard Class,Wei Davis,Consumer,Printers Item 210,Technology,Printers,1009.92,3,0.2,71.15,Worcester,Massachusetts,East
108,US-2023-100085,2023-03-01,2023-03-07,Same Day,Linda Garcia,Corporate,Tables Item 457,Furniture,Tables,663.1,5,0.2,31.95,Pittsburgh,Pennsylvania,East
109,US-2024-101935,2024-11-11,2024-11-18,Standard Class,Susan Ali,Corporate,Accessories Item 580,Technology,Accessories,306.42,3,0.2,-17.15,Columbus,Ohio,Central
110,US-2022-100168,2022-11-04,2022-11-06,Standard Class,William Rodriguez,Home Office,Printers Item 858,Technology,Printers,623.52,6,0.1,30.02,Los Angeles,California,West
111,US-2022-103349,2022-08-05,2022-08-08,Standard Class,Susan Garcia,Corporate,Storage Item 487,Office Supplies,Storage,824.64,6,0.3,-89.8,Miami,Florida,South
112,US-2024-101184,2024-03-06,2024-03-08,First Class,Jessica Thomas,Consumer,Chairs Item 514,Furniture,Chairs,798.84,7,0.0,209.08,Springfield,Illinois,Central
113,US-2024-100189,2024-11-24,2024-09-30,First Class,Mei Davis,Home Office,Laptops Item 675,Technology,Laptops,13445.46,7,0.2,-878.6,Cleveland,Ohio,Central
114,US-2023-103457,2023-11-26,2023-04-29,Second Class,Patricia Anderson,Home Office,Paper Item 309,Office Supplies,Paper,38.48,4,0.0,7.43,Charlotte,North Carolina,South
115,US-2024-103046,2024-09-23,2024-09-30,Second Class,Jennifer Johnson,Corporate,Bookcases Item 899,Furniture,Bookcases,2378.18,7,0.0,725.76,Cleveland,Ohio,Central
116,US-2022-100782,2022-03-25,2022-03-27,First Class,William Williams,Consumer,Chairs Item 600,Furniture,Chairs,2017.15,5,0.0,413.44,Springfield,Illinois,Central
117,US-2023-100642,2023-04-03,2023-04-06,Standard Class,Elizabeth Miller,Consumer,Labels Item 214,Office Supplies,Labels,104.09,7,0.2,-7.08,Ann Arbor,Michigan,Central
118,US-2024-100587,2024-04-01,2024-04-07,Standard Class,John Rodriguez,Consumer,Furnishings Item 307,Furniture,Furnishings,1322.56,8,0.1,121.62,Worcester,Massachusetts,East
119,US-2024-102107,2024-10-31,2024-11-04,Standard Class,Patricia Anderson,Corporate,Binders Item 603,Office Supplies,Binders,204.18,6,0.0,40.17,Ann Arbor,Michigan,Central
120,US-2024-101298,2024-02-16,2024-02-18,Standard Class,Fatima Ali,Consumer,Accessories Item 733,Technology,Accessories,150.0,5,0.1,29.26,Memphis,Tennessee,South
121,US-2024-103319,2024-09-25,2024-09-29,First Class,Amara Brown,Home Office,Art Item 492,Office Supplies,Art,584.08,8,0.0,156.23,Houston,Texas,Central
122,US-2024-102401,2024-07-16,2024-07-22,Second Class,William Lee,Corporate,Bookcases Item 185,Furniture,Bookcases,1254.24,8,0.15,-1.12,Chicago,Illinois,Central
123,US-2022-101432,2022-09-16,2022-09-17,Same Day,Linda Davis,Consumer,Printers Item 920,Technology,Printers,574.24,1,0.15,58.18,Chicago,Illinois,Central
124,US-2024-103420,2024-12-18,2024-12-22,First Class,Michael Rodriguez,Corporate,Binders Item 936,Office Supplies,Binders,12.09,1,0.0,4.15,Seattle,Washington,
125,US-2022-102706,2022-05-19,2022-05-20,First Class,Joseph Davis,Corporate,Phones Item 898,Technology,Phones,665.83,1,0.2,-10.19,Springfield,Illinois,Central
126,US-2023-103136,2023-10-12,2023-10-17,Same Day,Sarah Kim,Corporate,Art Item 580,Office Supplies,Art,93.75,3,0.2,10.84,Jersey City,New Jersey,East
127,US-2023-102933,2023-06-01,2023-06-06,First Class,Mary Garcia,Corporate,Tables Item 177,Furniture,Tables,5395.6,8,0.3,-493.49,Raleigh,North Carolina,South
128,US-2023-101643,2023-02-24,2023-03-02,First Class,Priya Taylor,Consumer,Laptops Item 365,Technology,Laptops,1239.36,1,0.1,68.34,San Diego,California,West
129,US-2023-102527,2023-09-07,2023-09-10,Same Day,Sarah Rodriguez,Home Office,Storage Item 339,Office Supplies,Storage,345.59,7,0.1,19.7,Cleveland,Ohio,Central
130,US-2024-100386,2024-08-06,2024-08-09,Standard Class,Linda Taylor,Consumer,Binders Item 415,Office Supplies,Binders,74.48,8,0.0,23.78,Chicago,Illinois,Central
131,US-2023-101342,2023-10-18,2023-10-22,Standard Class,Mei Nguyen,Consumer,Storage Item 489,Office Supplies,Storage,17.72,1,0.1,2.05,Seattle,Washington,West
132,US-2024-103135,2024-01-16,2024-01-23,Second Class,Carlos Martinez,Home Office,Labels Item 746,Office Supplies,Labels,17.94,2,0.0,4.98,Orlando,Florida,South
133,US-2022-101712,2022-12-19,2022-12-20,First Class,Mei Taylor,Corporate,Art Item 228,Office Supplies,Art,186.51,3,0.1,8.91,Worcester,Massachusetts,East
134,US-2023-103281,2023-12-13,2023-05-14,Standard Class,Jennifer Singh,Consumer,Art Item 363,Office Supplies,Art,138.06,6,0.15,6.86,New York City,New York,East
135,US-2022-100143,2022-04-20,2022-04-27,First Class,Robert Miller,Corporate,Laptops Item 239,Technology,Laptops,8645.4,6,0.3,-1494.02,Pittsburgh,Pennsylvania,East
136,US-2024-100981,2024-11-06,2024-11-09,Same Day,Richard Wilson,Corporate,Storage Item 185,Office Supplies,Storage,184.45,5,0.4,-38.37,Nashville,Tennessee,South
137,US-2022-100711,2022-10-17,2022-10-18,Second Class,,Consumer,Paper Item 682,Office Supplies,Paper,14.01,1,0.0,3.52,San Francisco,California,West
138,US-2024-102294,2024-11-23,2024-11-30,Second Class,Elizabeth Johnson,Consumer,Chairs Item 444,Furniture,Chairs,1165.8,5,0.0,205.35,Austin,Texas,Central
139,US-2023-103160,2023-02-03,2023-02-09,First Class,Wei Martinez,Corporate,Tables Item 940,Furniture,Tables,3709.08,6,0.3,-645.9,Buffalo,New York,East
140,US-2024-100715,2024-04-09,2024-04-16,Same Day,Carlos Ali,Consumer,Phones Item 922,Technology,Phones,5034.72,8,0.1,1075.33,Spokane,Washington,West
141,US-2022-101887,2022-04-19,2022-04-23,Standard Class,Wei Lee,Corporate,Tables Item 941,Furniture,Tables,2251.02,6,0.2,172.43,Reno,Nevada,West
142,US-2024-103006,2024-12-22,2024-12-26,First Class,Amara Thomas,Corporate,Paper Item 134,Office Supplies,Paper,32.54,1,0.4,-4.11,Seattle,Washington,West
143,US-2022-102934,2022-04-16,2022-04-17,Same Day,William Lee,Consumer,Labels Item 972,Office Supplies,Labels,94.2,5,0.1,8.16,Pittsburgh,Pennsylvania,East
144,US-2023-101832,2023-11-23,2023-11-28,Same Day,Amara Wilson,Consumer,Phones Item 398,Technology,Phones,1313.76,7,0.1,61.72,Memphis,Tennessee,South
145,US-2022-101263,2022-10-18,2022-10-22,Same Day,Aiden Nguyen,Consumer,Art Item 291,Office Supplies,Art,522.64,8,0.1,50.04,Savannah,Georgia,South
146,US-2024-100495,2024-11-25,2024-05-02,First Class,David Wilson,Consumer,Phones Item 944,Technology,Phones,2678.4,8,0.1,545.91,Detroit,Michigan,Central
147,US-2024-101492,2024-01-04,2024-01-06,Same Day,James Brown,Corporate,Art Item 310,Office Supplies,Art,462.96,8,0.0,145.1,Raleigh,North Carolina,South
148,US-2023-100497,2023-05-27,2023-06-01,Second Class,William Smith,Corporate,Storage Item 562,Office Supplies,Storage,130.7,2,0.0,35.03,Las Vegas,Nevada,West
149,US-2022-102447,2022-09-26,2022-10-02,First Class,Wei Lee,Consumer,Accessories Item 564,Technology,Accessories,286.11,3,0.15,9.49,Austin,Texas,Central
150,US-2022-100429,2022-11-18,2022-11-25,Second Class,Priya Torres,Home Office,Accessories Item 975,Technology,Accessories,60.48,4,0.3,-5.18,Memphis,Tennessee,South
151,US-2023-102016,2023-02-03,2023-02-07,Same Day,Amara Rodriguez,Corporate,Furnishings Item 936,Furniture,Furnishings,174.39,1,0.15,6.82,Pittsburgh,Pennsylvania,East
152,US-2024-102463,2024-11-28,2024-11-03,Standard Class,Priya Smith,Home Office,Laptops Item 973,Technology,Laptops,3914.32,8,0.4,-933.91,Buffalo,New York,East
153,US-2023-101264,2023-02-01,2023-02-04,Same Day,Priya Williams,Home Office,Art Item 659,Office Supplies,Art,62.4,3,0.0,21.31,Los Angeles,California,West
154,US-2023-100379,2023-12-19,2023-12-24,First Class,Amara Ali,Consumer,Labels Item 821,Office Supplies,Labels,32.52,2,0.0,8.35,Houston,Texas,Central
155,US-2022-102301,2022-04-03,2022-04-05,First Class,Amara Brown,Corporate,Tables Item 195,Furniture,Tables,1294.55,5,0.0,397.01,Worcester,Massachusetts,East
156,US-2023-101582,2023-06-29,2023-07-06,Second Class,Linda Lee,Corporate,Storage Item 878,Office Supplies,Storage,424.14,6,0.2,12.95,Eugene,Oregon,West
157,US-2022-101994,2022-04-17,2022-04-20,Same Day,Elizabeth Singh,Corporate,Accessories Item 196,Technology,Accessories,$186.8,8,0.0,44.83,Chicago,Illinois,Central
158,US-2023-100426,2023-10-30,2023-11-01,Standard Class,John Davis,Home Office,Accessories Item 522,Technology,Accessories,77.56,4,0.2,6.2,Raleigh,North Carolina,South
159,US-2023-102717,2023-09-15,2023-09-20,Second Class,Jennifer Johnson,Consumer,Chairs Item 933,Furniture,Chairs,2146.92,6,0.0,349.56,Eugene,Oregon,West
